date,sales
2017-04-04,26
2017-04-05,31
2017-04-06,29
2017-04-07,44
2017-04-08,32
2017-04-09,37
2017-04-10,26
2017-04-11,29
2017-04-12,26
2017-04-13,28
2017-04-14,25
2017-04-15,52
2017-04-16,28
2017-04-17,26
2017-04-18,25
2017-04-19,30
2017-04-20,22
2017-04-21,26
2017-04-22,41
2017-04-23,31
2017-04-24,30
2017-04-25,25
2017-04-26,20
2017-04-27,36
2017-04-28,34
2017-04-29,32
2017-04-30,45
2017-05-01,26
2017-05-02,25
2017-05-03,32
2017-05-04,31
2017-05-05,32
2017-05-06,33
2017-05-07,38
2017-05-08,40
2017-05-09,37
2017-05-10,31
2017-05-11,32
2017-05-12,32
2017-05-13,43
2017-05-14,31
2017-05-15,20
2017-05-16,30
2017-05-17,20
2017-05-18,37
2017-05-19,26
2017-05-20,35
2017-05-21,34
2017-05-22,24
2017-05-23,29
2017-05-24,36
2017-05-25,33
2017-05-26,34
2017-05-27,33
2017-05-28,43
2017-05-29,32
2017-05-30,31
2017-05-31,40
2017-06-01,42
2017-06-02,32
2017-06-03,35
2017-06-04,50
2017-06-05,19
2017-06-06,38
2017-06-07,25
2017-06-08,32
2017-06-09,40
2017-06-10,29
2017-06-11,41
2017-06-12,22
2017-06-13,30
2017-06-14,30
2017-06-15,36
2017-06-16,37
2017-06-17,50
2017-06-18,38
2017-06-19,33
2017-06-20,28
2017-06-21,34
2017-06-22,30
2017-06-23,50
2017-06-24,28
2017-06-25,47
2017-06-26,37
2017-06-27,29
2017-06-28,38
2017-06-29,32
2017-06-30,45
2017-07-01,35
2017-07-02,40
2017-07-03,32
2017-07-04,44
2017-07-05,29
2017-07-06,41
2017-07-07,49
2017-07-08,32
2017-07-09,36
2017-07-10,30
2017-07-11,35
2017-07-12,42
2017-07-13,35
2017-07-14,34
2017-07-15,40
2017-07-16,51
2017-07-17,34
2017-07-18,40
2017-07-19,28
2017-07-20,36
2017-07-21,32
2017-07-22,41
2017-07-23,46
2017-07-24,21
2017-07-25,38
2017-07-26,40
2017-07-27,28
2017-07-28,49
2017-07-29,34
2017-07-30,45
2017-07-31,24
2017-08-01,30
2017-08-02,35
2017-08-03,27
2017-08-04,34
2017-08-05,45
2017-08-06,34
2017-08-07,25
2017-08-08,30
2017-08-09,25
2017-08-10,30
2017-08-11,34
2017-08-12,41
2017-08-13,30
2017-08-14,12
2017-08-15,28
2017-08-16,32
2017-08-17,40
2017-08-18,20
2017-08-19,31
2017-08-20,31
2017-08-21,25
2017-08-22,33
2017-08-23,30
2017-08-24,35
2017-08-25,37
2017-08-26,30
2017-08-27,29
2017-08-28,29
2017-08-29,27
2017-08-30,24
2017-08-31,29
2017-09-01,33
2017-09-02,22
2017-09-03,30
2017-09-04,21
2017-09-05,25
2017-09-06,24
2017-09-07,34
2017-09-08,44
2017-09-09,36
2017-09-10,32
2017-09-11,29
2017-09-12,19
2017-09-13,31
2017-09-14,39
2017-09-15,29
2017-09-16,33
2017-09-17,37
2017-09-18,19
2017-09-19,30
2017-09-20,25
2017-09-21,34
2017-09-22,30
2017-09-23,24
2017-09-24,36
2017-09-25,26
2017-09-26,21
2017-09-27,29
2017-09-28,24
2017-09-29,21
2017-09-30,28
2017-10-01,42
2017-10-02,18
2017-10-03,21
2017-10-04,29
2017-10-05,31
2017-10-06,26
2017-10-07,32
2017-10-08,46
2017-10-09,25
2017-10-10,20
2017-10-11,26
2017-10-12,27
2017-10-13,29
2017-10-14,31
2017-10-15,23
2017-10-16,19
2017-10-17,27
2017-10-18,20
2017-10-19,27
2017-10-20,30
2017-10-21,36
2017-10-22,44
2017-10-23,24
2017-10-24,28
2017-10-25,23
2017-10-26,22
2017-10-27,30
2017-10-28,34
2017-10-29,39
2017-10-30,29
2017-10-31,26
2017-11-01,24
2017-11-02,29
2017-11-03,32
2017-11-04,41
2017-11-05,32
2017-11-06,22
2017-11-07,27
2017-11-08,31
2017-11-09,33
2017-11-10,23
2017-11-11,34
2017-11-12,27
2017-11-13,24
2017-11-14,26
2017-11-15,33
2017-11-16,27
2017-11-17,34
2017-11-18,30
2017-11-19,34
2017-11-20,33
2017-11-21,32
2017-11-22,27
2017-11-23,23
2017-11-24,31
2017-11-25,29
2017-11-26,30
2017-11-27,27
2017-11-28,24
2017-11-29,32
2017-11-30,27
2017-12-01,19
2017-12-02,31
2017-12-03,26
2017-12-04,17
2017-12-05,21
2017-12-06,28
2017-12-07,17
2017-12-08,26
2017-12-09,29
2017-12-10,28
2017-12-11,19
2017-12-12,18
2017-12-13,26
2017-12-14,31
2017-12-15,20
2017-12-16,32
2017-12-17,19
2017-12-18,21
2017-12-19,19
2017-12-20,24
2017-12-21,29
2017-12-22,22
2017-12-23,27
2017-12-24,27
2017-12-25,13
2017-12-26,16
2017-12-27,16
2017-12-28,17
2017-12-29,21
2017-12-30,31
2017-12-31,19
